Id,Label,timeset,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
7429,,,1,7,16,24,0.06845,0.078027,4504.5,0.000997,0.107946,0.000108,0,0,16,0.571429,12,0.049182
7430,,,1,7,16,24,0.06845,0.078027,4504.5,0.000997,0.107946,0.000108,0,0,16,0.571429,12,0.049182
9903,,,1,4,8,25,0.064127,0.071931,0,0,0.310345,0,0,0,16,1,6,0.02915
9904,,,1,4,8,25,0.064127,0.071931,0,0,0.310345,0,0,0,16,1,6,0.02915
9905,,,1,4,8,25,0.064127,0.071931,0,0,0.310345,0,0,0,16,1,6,0.02915
9906,,,1,4,8,25,0.064127,0.071931,0,0,0.310345,0,0,0,16,1,6,0.02915
989,,,1,3,6,21,0.116777,0.134782,0,0,0.617284,0,0.000616,0.000616,24,1,3,0.040615
990,,,1,3,6,21,0.116777,0.134782,0,0,0.617284,0,0.000616,0.000616,24,1,3,0.040615
991,,,1,6,14,20,0.122127,0.144582,1110.039214,0.000246,0.143428,0.000035,0.002591,0.002591,24,0.6,9,0.080574
992,,,1,25,64,20,0.132199,0.162459,793977.082919,0.175677,0.005113,0.000898,0.00326,0.00326,24,0.09,27,0.206727
6404,,,1,7,14,20,0.122161,0.14508,26982,0.00597,0.110149,0.000658,0.002565,0.002565,24,0.428571,9,0.082937
